es	ca	tecnic	data	domini
intersección	intersecció	Tècnic 5	2026-03-23	Matemàtiques i Estadística
plano	pla	Tècnic 5	2026-03-23	Matemàtiques i Estadística
Hallar	Trobar	Tècnic 5	2026-03-23	Matemàtiques i Estadística
mezcla	barreja	Tècnic 5	2026-03-23	Matemàtiques i Estadística
matriz transpuesta	matriz transposada	Tècnic 5	2026-03-23	Matemàtiques i Estadística
invernadero	hivernacle	Tècnic 5	2026-03-23	Matemàtiques i Estadística
